PRO_COM_T,COD_PROV,comune,provincia,regione,popolazione,area_km2,densita_ab_km2
001086,001,"Ciri̬","1","1",18083,17.73,1019.9
001087,001,"Claviere","1","1",199,2.69,74
001088,001,"Coassolo Torinese","1","1",1460,27.88,52.4
001089,001,"Coazze","1","1",3371,56.57,59.6
001090,001,"Collegno","1","1",47590,18.11,2627.8
001091,001,"Colleretto Castelnuovo","1","1",354,6.33,55.9
001092,001,"Colleretto Giacosa","1","1",576,4.59,125.5
001093,001,"Condove","1","1",4422,71.11,62.2
001094,001,"Corio","1","1",3106,41.49,74.9
001095,001,"Cossano Canavese","1","1",410,3.24,126.5
001096,001,"Cuceglio","1","1",917,6.87,133.5
001097,001,"Cumiana","1","1",7814,60.73,128.7
001098,001,"Cuorgn̬","1","1",9483,19.31,491.1
001099,001,"Druento","1","1",8942,27.54,324.7
001100,001,"Exilles","1","1",241,46.55,5.2
001101,001,"Favria","1","1",4962,14.85,334.1
001102,001,"Feletto","1","1",2151,7.89,272.6
001103,001,"Fenestrelle","1","1",466,49.41,9.4
001104,001,"Fiano","1","1",2638,12.04,219.1
001105,001,"Fiorano Canavese","1","1",725,4.35,166.7
001106,001,"Foglizzo","1","1",2278,15.64,145.7
001107,001,"Forno Canavese","1","1",3152,16.5,191
001108,001,"Frassinetto","1","1",272,24.82,11
001109,001,"Front","1","1",1590,10.95,145.2
001110,001,"Frossasco","1","1",2846,20.15,141.2
001111,001,"Garzigliana","1","1",564,7.4,76.2
001112,001,"Gassino Torinese","1","1",9208,20.51,449
001113,001,"Germagnano","1","1",1131,14.44,78.3
001114,001,"Giaglione","1","1",585,33.38,17.5
001115,001,"Giaveno","1","1",16361,71.74,228.1
001116,001,"Givoletto","1","1",4060,12.82,316.7
001117,001,"Gravere","1","1",684,18.99,36
001118,001,"Groscavallo","1","1",183,92.09,2
001119,001,"Grosso","1","1",1004,4.33,231.9
001120,001,"Grugliasco","1","1",36410,13.14,2770.9
001121,001,"Ingria","1","1",44,14.75,3
001122,001,"Inverso Pinasca","1","1",677,8.03,84.3
001123,001,"Isolabella","1","1",355,4.77,74.4
001124,001,"Issiglio","1","1",434,5.5,78.9
001125,001,"Ivrea","1","1",22544,30.11,748.7
001126,001,"La Cassa","1","1",1719,12.04,142.8
001127,001,"La Loggia","1","1",8673,12.79,678.1
001128,001,"Lanzo Torinese","1","1",5038,10.29,489.6
001129,001,"Lauriano","1","1",1356,14.29,94.9
001130,001,"Leini","1","1",16339,31.92,511.9
