DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y60,99,2025,54,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y60,99,2026,51,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y61,99,2025,53,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y61,99,2026,52,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y62,99,2025,37,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y62,99,2026,51,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y63,99,2025,42,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y63,99,2026,38,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y64,99,2025,43,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y64,99,2026,41,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y65,99,2025,39,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y65,99,2026,42,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y66,99,2025,26,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y66,99,2026,38,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y67,99,2025,28,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y67,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y68,99,2025,29,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y68,99,2026,27,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y69,99,2025,33,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y69,99,2026,29,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y7,99,2025,15,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y7,99,2026,19,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y70,99,2025,30,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y70,99,2026,32,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y71,99,2025,26,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y71,99,2026,30,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y72,99,2025,30,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y72,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y73,99,2025,42,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y73,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y74,99,2025,38,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y74,99,2026,41,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y75,99,2025,26,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y75,99,2026,36,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y76,99,2025,48,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y76,99,2026,25,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y77,99,2025,25,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y77,99,2026,43,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y78,99,2025,16,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y78,99,2026,23,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y79,99,2025,25,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y79,99,2026,15,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y8,99,2025,16,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y8,99,2026,16,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y80,99,2025,20,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y80,99,2026,25,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y81,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y81,99,2026,20,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y82,99,2025,27,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y82,99,2026,24,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y83,99,2025,27,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y83,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y84,99,2025,24,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y84,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y85,99,2025,18,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y85,99,2026,23,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y86,99,2025,20,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y86,99,2026,16,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y87,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y87,99,2026,17,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y88,99,2025,12,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y88,99,2026,21,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y89,99,2025,14,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y89,99,2026,12,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y9,99,2025,27,,,FILTER__ITC1,,,,,,,
