codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
060018,232,1466,687,1179,1206
060019,4060,22030,8670,17128,17632
060020,368,1872,849,1521,1568
060021,110,502,215,411,416
060022,467,2298,962,1800,1927
060023,436,2665,1236,2110,2227
060024,2651,13786,5525,10712,11250
060025,782,4912,2246,3953,3987
060026,915,4852,1941,3772,3936
060027,207,1037,503,869,878
060028,88,533,234,440,415
060029,57,362,184,310,293
060030,161,873,430,731,733
060031,420,2057,1068,1789,1756
060032,50,299,154,259,244
060033,2236,12786,4880,9931,9971
060034,37,336,160,286,247
060035,980,6558,2642,4945,5235
060036,276,1531,782,1261,1328
060037,138,748,305,561,630
060038,4777,26728,11331,20614,22222
060039,180,1191,558,953,976
060040,109,715,340,562,602
060041,273,1413,624,1154,1156
060042,133,909,446,773,715
060043,1030,6360,3127,5085,5432
060044,1388,7237,3169,5874,5920
060045,364,1912,838,1566,1548
060046,857,5048,1947,3922,3930
060047,121,710,417,621,627
060048,343,1957,749,1556,1493
060049,136,855,381,697,675
060050,110,682,314,549,557
060051,272,1499,783,1259,1295
060052,873,4119,1334,3150,3176
060053,413,2633,1202,2100,2148
060054,321,1412,641,1171,1203
060055,404,2255,1188,1900,1947
060056,1401,7545,3121,5914,6153
060057,101,585,349,510,525
060058,535,3076,1380,2495,2496
060059,74,479,282,418,417
060060,691,4086,1894,3336,3335
060061,24,163,102,145,144
060062,182,1108,562,884,968
060063,364,1818,745,1439,1488
060064,284,1740,942,1476,1490
060065,81,516,268,442,423
060066,132,742,389,622,641
060067,205,1079,481,858,907
060068,622,3351,1576,2768,2781
060069,102,709,364,591,584
060070,236,1529,574,1184,1155
060071,307,1833,795,1478,1457
060072,77,426,197,346,354
060073,251,1535,594,1177,1203
060074,2729,15565,6378,12257,12415
060075,272,1410,571,1107,1146
060076,526,2863,1168,2268,2289
060077,12,137,114,133,130
060078,142,812,363,695,622
060079,586,2937,1125,2311,2337
060080,132,1036,531,893,806
060081,173,1002,419,787,807
060082,231,1277,815,1140,1183
060083,112,516,253,434,447
060084,106,765,494,684,681
060085,2319,12183,4900,9580,9822
060086,88,404,202,324,370
060087,256,1274,520,1024,1026
060088,128,667,334,567,562
060089,284,1520,632,1224,1212
060090,178,970,416,777,787
060091,20,169,93,141,141
061001,91,704,332,513,614
061002,915,4778,1556,3616,3633
061003,552,2803,1078,2197,2236
061004,799,3550,1050,2693,2706
061005,6080,31931,10849,23537,25323
061006,207,1267,508,984,998
061007,880,4047,1128,2982,3073
061008,214,1216,395,959,866
061009,598,3135,1344,2473,2604
061010,625,3458,1297,2607,2773
061011,273,1283,415,987,984
061012,838,3915,1030,3021,2762
061013,1545,6831,1627,4913,5090
061014,156,807,418,671,710
061015,2058,11836,4123,8904,9113
061016,1071,4838,1273,3514,3668
061017,734,4525,1783,3607,3435
061018,1404,8013,3416,6161,6672
061019,3159,15381,3464,11139,10865
061020,1371,6339,1686,4588,4808
061021,1141,5427,1696,4010,4254
061022,7994,46503,18260,34465,38292
061023,152,893,370,676,739
061024,111,610,274,488,507
061025,129,857,336,640,682
061026,399,2213,962,1717,1857
061027,5034,21421,4775,16360,14870
061028,619,3140,960,2326,2393
061029,1591,6749,1508,4896,4952
061030,24,211,112,179,168
061031,107,680,339,570,556
061032,778,4317,1522,3153,3464
061033,196,1229,437,877,985
061034,80,431,226,375,362
061035,171,898,324,665,728
061036,615,3003,1043,2342,2319
061037,1349,5977,1648,4420,4554
061038,16,249,174,220,219
061039,202,1288,497,986,1001
061040,86,407,172,318,347
061041,354,2027,825,1596,1610
061042,961,4541,1303,3433,3372
061043,2335,9158,1730,6694,6529
061044,55,385,170,287,323
061045,120,606,282,502,506
061046,2453,11182,2736,8052,8319
061047,1362,6782,1928,4956,5116
061048,4966,24198,7374,17802,18736
061049,5177,25715,7152,18563,19481
061050,153,1197,563,988,925
061051,325,1881,768,1469,1505
061052,4082,18544,5703,13925,14404
061053,4913,19244,3297,13598,13856
061054,2170,8949,2152,6621,6650
061055,337,1925,590,1451,1401
061056,166,1323,585,1049,1025
061057,1019,6354,2615,4807,5181
061058,536,2892,1022,2178,2272
061059,335,1769,678,1380,1402
061060,654,3863,1302,2912,2907
061061,160,947,413,745,775
061062,1205,5191,1342,3797,3941
061063,138,792,391,644,677
061064,114,851,359,644,680
061065,195,1034,379,840,768
061066,112,691,326,555,574
061067,1016,5192,1500,3837,3871
061068,261,1401,508,1072,1098
061069,322,1801,804,1462,1465
061070,325,1945,817,1511,1576
061071,97,532,214,398,445
061072,47,265,127,232,207
061073,207,964,455,787,839
061074,1804,9225,2467,6786,6710
061075,2355,11091,3364,8291,8519
061076,72,507,263,417,425
061077,2427,10025,2271,7311,7412
061078,2580,14466,4796,10787,11055
061079,74,475,226,379,396
061080,227,1250,470,952,995
061081,1629,8219,2246,5751,6343
061082,2022,9640,2713,6975,7400
061083,3936,21015,7104,15433,16622
061084,308,1707,487,1258,1244
061085,978,3831,943,2870,2882
061086,223,1261,563,991,1056
061087,2393,10646,2528,7746,7821
061088,2115,12445,5475,9875,10160
061089,974,4761,1564,3593,3706
061090,1389,5985,1544,4432,4486
061091,1203,6865,2883,5378,5573
061092,2409,10469,2165,7377,7666
061093,61,452,222,357,378
061094,3370,14373,3154,10260,10637
061095,786,4175,1455,3081,3335
061096,40,378,288,340,366
061097,326,1684,563,1264,1309
061098,1157,5215,1190,3782,3780
061099,1873,9124,2033,6866,6164
061100,1177,5230,1318,3763,3962
061101,431,2177,821,1682,1747
061102,996,5520,1776,4002,4290
061103,990,5211,1226,3800,3627
061104,885,4406,1183,3214,3260
062001,1018,5320,1751,4027,4062
062002,290,1659,680,1316,1313
062003,608,3306,1261,2566,2609
062004,263,1519,637,1192,1227
062005,299,1298,386,1011,972
062006,61,449,212,360,362
062007,180,1124,676,935,1045
062008,6044,34921,14365,26517,28813
062009,184,862,290,674,662
062010,276,1278,396,950,1000
062011,143,854,481,728,750
062012,296,1606,563,1234,1231
062013,94,589,276,465,494
062014,216,1102,324,934,708
062015,132,706,338,602,574
062016,84,459,218,393,368
062017,132,792,393,662,655
062018,113,679,301,526,567
062019,286,1477,604,1143,1224
062020,51,440,424,443,472
062021,234,1159,457,928,922
062022,328,1951,902,1615,1566
062023,383,2177,938,1733,1765
062024,181,1259,618,1034,1024
062025,214,1303,638,1053,1102
062026,432,2269,1032,1873,1860
062027,279,1678,670,1274,1353
062028,266,1336,455,1044,1013
062029,324,2003,834,1576,1585
062030,368,1937,796,1508,1593
062031,135,810,356,642,659
062032,178,787,225,606,584
062033,79,519,295,418,475
062034,175,1020,451,794,852
062035,216,1165,565,971,975
062036,22,233,123,187,191
062037,391,2759,1315,2227,2238
062038,514,2805,901,2172,2048
062039,154,1045,437,827,809
062040,542,2575,869,1999,1987
062041,139,788,461,668,720
062042,110,741,409,587,673
062043,1602,8625,2742,6497,6472
062044,431,2624,1367,2159,2263
062045,393,2119,1012,1741,1783
062046,215,1358,594,1086,1081
062047,220,1315,427,1029,933
062048,271,1290,379,989,951
062049,155,865,361,690,691
062050,202,1064,532,869,929
062051,45,294,154,225,268
062052,306,1837,726,1462,1407
062053,264,1498,626,1185,1203
062054,164,1192,585,955,986
062055,137,804,321,637,625
062056,106,644,313,525,538
062057,378,2458,1355,2090,2101
062058,1226,6124,2283,4630,5003
062059,285,1586,774,1347,1298
062060,308,1832,737,1429,1448
062061,208,1284,587,1031,1048
062062,212,1146,497,949,906
062063,54,390,223,339,328
062064,285,1760,850,1389,1506
062065,112,739,285,565,571
062066,88,546,185,404,415
062067,391,2227,755,1652,1721
062068,424,2475,957,1947,1909
062069,75,542,240,430,427
062070,1142,6508,2357,4951,5056
062071,418,2547,1024,1983,2006
062072,58,356,192,296,310
062073,338,2104,934,1606,1770
062074,974,5067,1566,3606,4001
062075,160,957,342,746,713
062076,398,2041,785,1626,1598
062077,284,1715,663,1378,1284
062078,37,243,180,232,228
063001,8960,40386,9239,28846,29739
063002,9301,41757,10523,30363,31218
063003,1212,5043,1589,3868,3976
063004,782,4422,1542,3314,3432
063005,4309,20535,6769,15468,16145
063006,2900,15783,6100,12071,12712
063007,1232,6452,2269,4930,5023
063008,3666,16685,5294,12587,13058
063009,1360,6340,2096,4781,5015
063010,2441,10794,2914,7937,8212
063011,5526,24225,6135,17688,18198
063012,1808,8697,2364,6575,6294
063013,584,3293,1133,2408,2602
063014,598,4303,1804,3336,3369
063015,353,1719,391,1246,1217
063016,3062,14632,3740,10491,10943
063017,6590,32235,7838,22730,23933
063018,295,1967,728,1489,1501
063019,841,4752,1768,3600,3761
063020,2055,8935,2065,6688,6367
063021,2592,11976,3676,8857,9387
063022,522,2411,665,1759,1839
063023,10065,48307,14885,35285,37972
063024,8087,39825,14025,29625,32312
063025,1232,5241,1382,3862,3993
063026,2262,10819,3621,8013,8689
063027,1525,8183,2634,6087,6255
063028,928,4598,1381,3353,3554
063029,213,1056,396,819,846
063030,1553,8030,1983,5673,5893
063031,2197,11621,3646,8706,8758
063032,3442,18554,6681,13900,14777
063033,1970,10584,2858,7599,7813
063034,19374,85746,19898,61720,63298
063035,3718,17956,5746,13407,14013
063036,2163,11306,3588,8565,8492
063037,2218,12582,4615,9620,9795
063038,505,2925,1039,2191,2278
063039,921,3991,1107,3021,2998
063040,156,974,344,723,751
063041,7879,38446,11306,27925,29706
063042,1253,5474,1320,4013,4034
063043,4018,19455,6023,14272,15224
