codice_comune,COD_PROV,anno,popolazione
003138,003,2025,574
003138,003,2026,576
003139,003,2025,1339
003139,003,2026,1320
003140,003,2025,715
003140,003,2026,722
003141,003,2025,1123
003141,003,2026,1105
003143,003,2025,2681
003143,003,2026,2662
003144,003,2025,456
003144,003,2026,462
003146,003,2025,875
003146,003,2026,876
003149,003,2025,21084
003149,003,2026,21305
003153,003,2025,951
003153,003,2026,952
003154,003,2025,4962
003154,003,2026,5023
003158,003,2025,2047
003158,003,2026,2080
003159,003,2025,860
003159,003,2026,851
003164,003,2025,547
003164,003,2026,564
003166,003,2025,5259
003166,003,2026,5311
004001,004,2025,164
004001,004,2026,171
004002,004,2025,204
004002,004,2026,206
004003,004,2025,30987
004003,004,2026,30985
004004,004,2025,215
004004,004,2026,205
004005,004,2025,157
004005,004,2026,152
004006,004,2025,77
004006,004,2026,76
004007,004,2025,194
004007,004,2026,190
004008,004,2025,931
004008,004,2026,929
004009,004,2025,5728
004009,004,2026,5685
004010,004,2025,1052
004010,004,2026,1043
004011,004,2025,600
004011,004,2026,600
004012,004,2025,7454
004012,004,2026,7510
004013,004,2025,617
004013,004,2026,613
004014,004,2025,629
004014,004,2026,628
004015,004,2025,237
004015,004,2026,256
004016,004,2025,3510
004016,004,2026,3540
004017,004,2025,99
004017,004,2026,99
004018,004,2025,337
004018,004,2026,333
004019,004,2025,3663
004019,004,2026,3645
004020,004,2025,448
004020,004,2026,457
004021,004,2025,52
004021,004,2026,51
004022,004,2025,4269
004022,004,2026,4276
004023,004,2025,100
004023,004,2026,102
004024,004,2025,368
004024,004,2026,372
004025,004,2025,12517
004025,004,2026,12618
004026,004,2025,174
004026,004,2026,168
004027,004,2025,658
004027,004,2026,664
004028,004,2025,9606
004028,004,2026,9612
004029,004,2025,29673
004029,004,2026,29830
004030,004,2025,316
004030,004,2026,311
004031,004,2025,40
004031,004,2026,41
004032,004,2025,265
004032,004,2026,260
004033,004,2025,993
004033,004,2026,979
004034,004,2025,10175
004034,004,2026,10228
004035,004,2025,552
004035,004,2026,551
004037,004,2025,5444
004037,004,2026,5404
004038,004,2025,80
004038,004,2026,76
004039,004,2025,80
004039,004,2026,78
004040,004,2025,6781
004040,004,2026,6842
004041,004,2025,3008
004041,004,2026,3013
004042,004,2025,1139
004042,004,2026,1174
004043,004,2025,4451
004043,004,2026,4494
004044,004,2025,161
004044,004,2026,161
004045,004,2025,1453
004045,004,2026,1458
004046,004,2025,2263
004046,004,2026,2294
004047,004,2025,143
004047,004,2026,143
004049,004,2025,1393
004049,004,2026,1377
004050,004,2025,282
004050,004,2026,277
004051,004,2025,900
004051,004,2026,911
004052,004,2025,272
004052,004,2026,273
004053,004,2025,51
004053,004,2026,51
004054,004,2025,102
004054,004,2026,102
004055,004,2025,656
004055,004,2026,655
004056,004,2025,743
004056,004,2026,746
004057,004,2025,433
004057,004,2026,431
004058,004,2025,669
004058,004,2026,664
004059,004,2025,5328
004059,004,2026,5329
004060,004,2025,88
004060,004,2026,83
004061,004,2025,6981
004061,004,2026,6985
004062,004,2025,2004
004062,004,2026,1975
004063,004,2025,384
004063,004,2026,387
004064,004,2025,5209
004064,004,2026,5190
004065,004,2025,2278
004065,004,2026,2280
004066,004,2025,5869
004066,004,2026,5895
004067,004,2025,9630
004067,004,2026,9713
004068,004,2025,3735
004068,004,2026,3716
004069,004,2025,194
004069,004,2026,196
004070,004,2025,78
004070,004,2026,76
004071,004,2025,778
004071,004,2026,775
004072,004,2025,2165
004072,004,2026,2167
004073,004,2025,2107
004073,004,2026,2104
004074,004,2025,855
004074,004,2026,858
004075,004,2025,3292
004075,004,2026,3307
004076,004,2025,343
004076,004,2026,344
004077,004,2025,145
004077,004,2026,132
004078,004,2025,55751
004078,004,2026,55747
004079,004,2025,1885
004079,004,2026,1848
004080,004,2025,3553
004080,004,2026,3547
004081,004,2025,4614
004081,004,2026,4605
004082,004,2025,7024
004082,004,2026,7007
004083,004,2025,79
004083,004,2026,80
004084,004,2025,763
004084,004,2026,741
004085,004,2025,1957
004085,004,2026,1952
004086,004,2025,1669
004086,004,2026,1698
004087,004,2025,474
004087,004,2026,474
004088,004,2025,300
004088,004,2026,288
004089,004,2025,24097
004089,004,2026,24157
004090,004,2025,720
004090,004,2026,740
004091,004,2025,1617
004091,004,2026,1644
004092,004,2025,254
004092,004,2026,250
004093,004,2025,577
004093,004,2026,574
004094,004,2025,354
004094,004,2026,376
004095,004,2025,2844
004095,004,2026,2833
004096,004,2025,2556
004096,004,2026,2564
004097,004,2025,244
004097,004,2026,239
004098,004,2025,119
004098,004,2026,116
004099,004,2025,2234
004099,004,2026,2233
004100,004,2025,1935
004100,004,2026,1938
004101,004,2025,3532
004101,004,2026,3548
004102,004,2025,65
004102,004,2026,63
004103,004,2025,67
004103,004,2026,63
004104,004,2025,1393
004104,004,2026,1384
004105,004,2025,2658
004105,004,2026,2626
004106,004,2025,431
004106,004,2026,425
004107,004,2025,720
004107,004,2026,730
004108,004,2025,836
004108,004,2026,867
004109,004,2025,183
004109,004,2026,174
004110,004,2025,1343
004110,004,2026,1329
004111,004,2025,185
004111,004,2026,181
004112,004,2025,42
004112,004,2026,42
004113,004,2025,2169
004113,004,2026,2169
004114,004,2025,2145
004114,004,2026,2166
004115,004,2025,1259
004115,004,2026,1233
004116,004,2025,3843
004116,004,2026,3870
004117,004,2025,3351
004117,004,2026,3367
004118,004,2025,1403
004118,004,2026,1413
004119,004,2025,58
004119,004,2026,56
004120,004,2025,215
004120,004,2026,222
004121,004,2025,816
004121,004,2026,811
004122,004,2025,295
004122,004,2026,293
004123,004,2025,216
004123,004,2026,212
004124,004,2025,261
004124,004,2026,263
004125,004,2025,571
004125,004,2026,562
004126,004,2025,1257
004126,004,2026,1257
004127,004,2025,83
004127,004,2026,82
004128,004,2025,1324
004128,004,2026,1312
004129,004,2025,578
004129,004,2026,581
004130,004,2025,22114
004130,004,2026,22371
004131,004,2025,568
004131,004,2026,567
004132,004,2025,1874
004132,004,2026,1864
004133,004,2025,4672
004133,004,2026,4649
004134,004,2025,534
004134,004,2026,550
004135,004,2025,895
004135,004,2026,894
004136,004,2025,694
004136,004,2026,682
004137,004,2025,475
004137,004,2026,480
004138,004,2025,234
004138,004,2026,244
004139,004,2025,536
004139,004,2026,548
004140,004,2025,1571
004140,004,2026,1582
004141,004,2025,222
004141,004,2026,229
004142,004,2025,2340
004142,004,2026,2333
004143,004,2025,4099
004143,004,2026,4041
004144,004,2025,2035
004144,004,2026,2032
004145,004,2025,866
004145,004,2026,841
004146,004,2025,921
004146,004,2026,936
004147,004,2025,3527
004147,004,2026,3528
004148,004,2025,3211
004148,004,2026,3192
004149,004,2025,355
004149,004,2026,350
004150,004,2025,320
004150,004,2026,312
004151,004,2025,933
004151,004,2026,939
004152,004,2025,927
004152,004,2026,921
004153,004,2025,389
004153,004,2026,387
004154,004,2025,81
004154,004,2026,82
004155,004,2025,1454
004155,004,2026,1446
004156,004,2025,87
004156,004,2026,78
004157,004,2025,2657
004157,004,2026,2663
004158,004,2025,584
004158,004,2026,569
004159,004,2025,263
004159,004,2026,263
004160,004,2025,186
004160,004,2026,182
004161,004,2025,252
004161,004,2026,255
004162,004,2025,104
004162,004,2026,106
004163,004,2025,5508
004163,004,2026,5502
004164,004,2025,297
004164,004,2026,281
004165,004,2025,2076
004165,004,2026,2093
004166,004,2025,2756
004166,004,2026,2758
004167,004,2025,67
004167,004,2026,68
004168,004,2025,1466
004168,004,2026,1469
004169,004,2025,992
004169,004,2026,991
004170,004,2025,3317
004170,004,2026,3306
004171,004,2025,1115
004171,004,2026,1119
004172,004,2025,188
004172,004,2026,187
004173,004,2025,252
004173,004,2026,262
004174,004,2025,175
004174,004,2026,166
004175,004,2025,486
004175,004,2026,486
004176,004,2025,2069
004176,004,2026,2016
004177,004,2025,619
004177,004,2026,609
004178,004,2025,380
004178,004,2026,369
004179,004,2025,9628
004179,004,2026,9626
004180,004,2025,4188
004180,004,2026,4184
